tile_id,lon,lat,pm25,x,y,predicted_value,predicted_variance,z_val,tile_sampled,pm25_percentile,n_measurements,gamma_attacks,proportion_gamma_attacks,p_value,med_pm25_detrended_15,med_pm25,min_lat,max_lat,min_lon,max_lon
0,116.4138,39.873,36.755009,449869.4101487392,4413826.023471838,-0.2867511434443009,15.055333850930364,-0.0747265109315362,0,,0.0,,,0.470216156983732,,,39.87285,39.873149999999995,116.41364999999999,116.41395
1,116.4141,39.873,36.755009,449895.0656784351,4413825.85523312,-0.2717631430675814,14.64739845537378,-0.0718437580372988,0,,0.0,,,0.4713631244465931,,,39.87285,39.873149999999995,116.41395,116.41425000000001
2,116.4144,39.873,36.755009,449920.7212078811,4413825.6870805295,-0.2563008707317983,14.267374640742656,-0.0687007191513269,0,,0.0,,,0.4726139228791434,,,39.87285,39.873149999999995,116.41425000000001,116.41454999999999
3,116.4147,39.873,36.755009,449946.3767370795,4413825.51901407,-0.2404553812471078,13.919418190820275,-0.0653069805243448,0,,0.0,,,0.4739647922784231,,,39.87285,39.873149999999995,116.41454999999999,116.4148
4,116.4149,39.873,36.755009,449963.4804230751,4413825.407017613,-0.2296971516207359,13.706799565337333,-0.0629057020797189,0,,0.0,,,0.4749207971184228,,,39.87285,39.873149999999995,116.4148,116.41505000000001
5,116.4152,39.873,36.755009,449989.1359518634,4413825.239094702,-0.2132252489066079,13.41753080805656,-0.05908333837292,0,,0.0,,,0.4764428647542181,,,39.87285,39.873149999999995,116.41505000000001,116.41534999999999
6,116.4155,39.873,36.755009,450014.7914804024,4413825.071257919,-0.1962251166899994,13.162403292277611,-0.0549673875639938,0,,0.0,,,0.4780822227249385,,,39.87285,39.873149999999995,116.41534999999999,116.4156
7,116.4157,39.873,36.755009,450031.8951659584,4413824.95941458,-0.1845101843463414,13.009781344010502,-0.0520409515774564,0,,0.0,,,0.4792480314825252,,,39.87285,39.873149999999995,116.4156,116.41585
8,116.416,39.873,36.755009,450057.5506940856,4413824.791721347,-0.1662397838599799,12.804508710160594,-0.0473506014735824,0,,0.0,,,0.4811168995685416,,,39.87285,39.873149999999995,116.41585,116.41615
9,116.4163,39.873,36.755009,450083.2062219681,4413824.624114244,-0.1470158975517367,12.624885143200864,-0.0422758814819726,0,,0.0,,,0.4831393859409831,,,39.87285,39.873149999999995,116.41615,116.41645
10,116.4166,39.873,36.755009,450108.86174960167,4413824.4565932695,-0.1267638783546409,12.468226989852967,-0.0368052120179222,0,,0.0,,,0.4853201591382687,,,39.87285,39.873149999999995,116.41645,116.41669999999999
11,116.4168,39.873,36.755009,450125.9654345544,4413824.34496047,-0.1126865862504972,12.375288144367248,-0.0329414859609722,0,,0.0,,,0.4868606248607524,,,39.87285,39.873149999999995,116.41669999999999,116.41695
12,116.4171,39.873,36.755009,450151.6209617792,4413824.177583043,-0.0907528395616674,12.251069772980522,-0.0268415568964645,0,,0.0,,,0.4892930537684241,,,39.87285,39.873149999999995,116.41695,116.41725
13,116.4174,39.873,36.755009,450177.27648875536,4413824.010291748,-0.0679559059524201,12.14222695301346,-0.020419340351436,0,,0.0,,,0.4918544278484904,,,39.87285,39.873149999999995,116.41725,116.41755
14,116.4177,39.873,36.755009,450202.9320154853,4413823.843086579,-0.0444803383973575,12.045267775550975,-0.0137372925027379,0,,0.0,,,0.4945197855677635,,,39.87285,39.873149999999995,116.41755,116.4178
15,116.4179,39.873,36.755009,450220.0356998359,4413823.731664317,-0.0285554210406345,11.98554354067919,-0.009171577333404,0,,0.0,,,0.4963411213199619,,,39.87285,39.873149999999995,116.4178,116.41805
16,116.4182,39.873,36.755009,450245.6912261556,4413823.564602698,-0.00440070843753,11.901186134924334,-0.0022022722709783,0,,0.0,,,0.4991214211883361,,,39.87285,39.873149999999995,116.41805,116.41835
17,116.4185,39.873,35.752448,450271.34675223153,4413823.39762721,0.0199396220721918,11.821317776925389,0.0048696529439683,0,,0.0,,,0.5019427027721738,,,39.87285,39.873149999999995,116.41835,116.4186
18,116.4187,39.873,37.783704,450288.4504361448,4413823.286358066,0.0362244786273519,11.770087908440352,0.0096269642715819,0,,0.0,,,0.503840543757155,,,39.87285,39.873149999999995,116.4186,116.41884999999999
19,116.419,39.873,37.783704,450314.105961809,4413823.119526125,0.0607437336052051,11.696596333269069,0.0168264734168678,0,,0.0,,,0.5067124749238082,,,39.87285,39.873149999999995,116.41884999999999,116.41915
20,116.4193,39.873,37.783704,450339.76148722967,4413822.952780313,0.0855246067280669,11.62918097780129,0.0241419556451066,0,,0.0,,,0.5096303113504731,,,39.87285,39.873149999999995,116.41915,116.41945000000001
21,116.4196,39.873,37.783704,450365.41701240273,4413822.786120631,0.1110012844515779,11.57261836228512,0.0316899364085153,0,,0.0,,,0.5126403397799568,,,39.87285,39.873149999999995,116.41945000000001,116.4197
22,116.4198,39.873,37.374651,450382.5206957159,4413822.675062026,0.1287147307035041,11.54433051290535,0.0369421103170352,0,,0.0,,,0.5147344182651608,,,39.87285,39.873149999999995,116.4197,116.41995
23,116.4201,39.873,37.783704,450408.17622048,4413822.508545891,0.1567687535649287,11.519913200924291,0.0452467672580752,0,,0.0,,,0.5180446912417414,,,39.87285,39.873149999999995,116.41995,116.42025000000001
24,116.4204,39.873,37.783704,450433.8317450012,4413822.342115887,0.1865623833850763,11.51734237655156,0.0540308618904626,0,,0.0,,,0.5215447120431214,,,39.87285,39.873149999999995,116.42025000000001,116.42054999999999
25,116.4207,39.873,37.783704,450459.4872692752,4413822.175772011,0.217761836088597,11.53395664046952,0.0631785967821862,0,,0.0,,,0.5251878559907754,,,39.87285,39.873149999999995,116.42054999999999,116.4208
26,116.4209,39.873,37.783704,450476.5909519893,4413822.064923944,0.2391639228795665,11.553948319065906,0.0694202941859423,0,,0.0,,,0.5276724622689678,,,39.87285,39.873149999999995,116.4208,116.42105000000001
27,116.4212,39.873,37.783704,450502.2464758552,4413821.898723616,0.2719103278904404,11.594578997205245,0.0789154762439365,0,,0.0,,,0.5314500733150104,,,39.87285,39.873149999999995,116.42105000000001,116.42134999999999
28,116.4215,39.873,37.783704,450527.9019994765,4413821.732609417,0.3051233354516006,11.644951354385716,0.0884774447281276,0,,0.0,,,0.5352513947386972,,,39.87285,39.873149999999995,116.42134999999999,116.4216
29,116.4217,39.873,37.783704,450545.0056817577,4413821.621914469,0.3273628136585026,11.682482204448856,0.0948418539435605,0,,0.0,,,0.5377797789766509,,,39.87285,39.873149999999995,116.4216,116.42185
30,116.422,39.873,37.783704,450570.6612049715,4413821.455943819,0.3606486780976016,11.742871691935267,0.1043111018481568,0,,0.0,,,0.5415387660118418,,,39.87285,39.873149999999995,116.42185,116.42215
