x,y,pm25,tile_id,max_x,min_x,max_y,min_y,min_lon,min_lat,max_lon,max_lat
529220.0,183480.0,12.2566,0,529230.0,529210.0,183490.0,183470.0,-0.13845865047894435,51.53535562697167,-0.13816312241662593,51.53553078654987
529240.0,183480.0,12.7294,1,529250.0,529230.0,183490.0,183470.0,-0.13817045656765872,51.53535105337882,-0.13787492744756935,51.535526212220155
529260.0,183480.0,12.2455,2,529270.0,529250.0,183490.0,183470.0,-0.13788226273242243,51.535346479078385,-0.13758673255457357,51.535521637182875
529280.0,183480.0,12.1502,3,529290.0,529270.0,183490.0,183470.0,-0.13759406897324689,51.53534190407039,-0.1372985377376533,51.53551706143801
529300.0,183480.0,12.2119,4,529310.0,529290.0,183490.0,183470.0,-0.13730587529014515,51.5353373283548,-0.13701034299681752,51.53551248498558
529320.0,183480.0,12.1097,5,529330.0,529310.0,183490.0,183470.0,-0.13701768168312686,51.535332751931655,-0.1367221483320791,51.53550790782558
529340.0,183480.0,12.1094,6,529350.0,529330.0,183490.0,183470.0,-0.1367294881522051,51.53532817480095,-0.13643395374345,51.535503329958004
529360.0,183480.0,12.1431,7,529370.0,529350.0,183490.0,183470.0,-0.13644129469739144,51.535323596962684,-0.13614575923094197,51.53549875138285
529380.0,183480.0,12.2329,8,529390.0,529370.0,183490.0,183470.0,-0.13615310131869762,51.535319018416835,-0.13585756479456593,51.53549417210012
529400.0,183480.0,12.5268,9,529410.0,529390.0,183490.0,183470.0,-0.1358649080161358,51.53531443916341,-0.13556937043433442,51.53548959210985
529420.0,183480.0,13.6061,10,529430.0,529410.0,183490.0,183470.0,-0.13557671478971617,51.53530985920246,-0.13528117615025875,51.53548501141198
529440.0,183480.0,12.7515,11,529450.0,529430.0,183490.0,183470.0,-0.13528852163945232,51.53530527853389,-0.13499298194235104,51.535480430006544
529460.0,183480.0,13.6585,12,529470.0,529450.0,183490.0,183470.0,-0.13500032856535452,51.53530069715778,-0.13470478781062298,51.53547584789354
529480.0,183480.0,13.7338,13,529490.0,529470.0,183490.0,183470.0,-0.13471213556743555,51.5352961150741,-0.13441659375508558,51.535471265072964
529500.0,183480.0,13.7706,14,529510.0,529490.0,183490.0,183470.0,-0.13442394264570687,51.53529153228286,-0.13412839977575133,51.53546668154483
529520.0,183480.0,13.5821,15,529530.0,529510.0,183490.0,183470.0,-0.13413574980017964,51.53528694878406,-0.13384020587263237,51.53546209730912
529540.0,183480.0,12.7156,16,529550.0,529530.0,183490.0,183470.0,-0.13384755703086698,51.535282364577675,-0.13355201204573866,51.535457512365845
529560.0,183480.0,12.7082,17,529570.0,529550.0,183490.0,183470.0,-0.13355936433777843,51.53527777966375,-0.1332638182950842,51.53545292671499
529580.0,183480.0,12.6429,18,529590.0,529570.0,183490.0,183470.0,-0.1332711717209275,51.53527319404225,-0.13297562462067933,51.53544834035657
529600.0,183480.0,12.6994,19,529610.0,529590.0,183490.0,183470.0,-0.13298297918032576,51.5352686077132,-0.1326874310225359,51.53544375329059
529620.0,183480.0,13.2055,20,529630.0,529610.0,183490.0,183470.0,-0.1326947867159846,51.535264020676564,-0.13239923750066626,51.53543916551706
529640.0,183480.0,14.5218,21,529650.0,529630.0,183490.0,183470.0,-0.1324065943279161,51.53525943293238,-0.1321110440550807,51.53543457703594
529660.0,183480.0,12.7639,22,529670.0,529650.0,183490.0,183470.0,-0.13211840201613093,51.53525484448063,-0.1318228506857932,51.53542998784727
529680.0,183480.0,12.464,23,529690.0,529670.0,183490.0,183470.0,-0.13183020978064178,51.53525025532133,-0.13153465739281406,51.53542539795102
529700.0,183480.0,12.3245,24,529710.0,529690.0,183490.0,183470.0,-0.13154201762146023,51.53524566545447,-0.1312464641761552,51.53542080734721
529720.0,183480.0,12.2654,25,529730.0,529710.0,183490.0,183470.0,-0.13125382553859813,51.535241074880034,-0.13095827103582772,51.53541621603585
529740.0,183480.0,12.2404,26,529750.0,529730.0,183490.0,183470.0,-0.13096563353206628,51.53523648359805,-0.13067007797184488,51.53541162401691
529760.0,183480.0,12.2325,27,529770.0,529750.0,183490.0,183470.0,-0.1306774416018781,51.53523189160848,-0.13038188498421763,51.53540703129041
529780.0,183480.0,12.2414,28,529790.0,529770.0,183490.0,183470.0,-0.1303892497480445,51.5352272989114,-0.13009369207295712,51.53540243785634
529800.0,183480.0,12.2618,29,529810.0,529790.0,183490.0,183470.0,-0.1301010579705772,51.53522270550672,-0.12980549923807616,51.535397843714726
529820.0,183480.0,12.3066,30,529830.0,529810.0,183490.0,183470.0,-0.1298128662694875,51.535218111394514,-0.12951730647958506,51.53539324886553
529840.0,183480.0,12.4079,31,529850.0,529830.0,183490.0,183470.0,-0.12952467464478679,51.53521351657473,-0.12922911379749769,51.53538865330878
529860.0,183480.0,12.7917,32,529870.0,529850.0,183490.0,183470.0,-0.12923648309648825,51.535208921047385,-0.12894092119182365,51.53538405704447
529880.0,183480.0,13.3145,33,529890.0,529870.0,183490.0,183470.0,-0.128948291624603,51.53520432481248,-0.12865272866257596,51.535379460072605
529900.0,183480.0,12.6526,34,529910.0,529890.0,183490.0,183470.0,-0.1286601002291426,51.535199727870044,-0.12836453620976584,51.53537486239318
529920.0,183480.0,12.5196,35,529930.0,529910.0,183490.0,183470.0,-0.12837190891011896,51.53519513022005,-0.12807634383340516,51.535370264006175
529940.0,183480.0,12.445,36,529950.0,529930.0,183490.0,183470.0,-0.1280837176675435,51.53519053186247,-0.12778815153350584,51.53536566491164
